audio_file,text,full_audio_path,translated_text
1272-135031-0001,HE HAS GONE AND GONE FOR GOOD ANSWERED POLYCHROME WHO HAD MANAGED TO SQUEEZE INTO THE ROOM BESIDE THE DRAGON AND HAD WITNESSED THE OCCURRENCES WITH MUCH INTEREST,/content/audios/1272-135031-0001.flac," He has gone and gone for good, answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest."
1272-135031-0002,I HAVE REMAINED A PRISONER ONLY BECAUSE I WISHED TO BE ONE AND WITH THIS HE STEPPED FORWARD AND BURST THE STOUT CHAINS AS EASILY AS IF THEY HAD BEEN THREADS,/content/audios/1272-135031-0002.flac," I have remained a prisoner only because I wish to be one. And with this, he stepped forward and burst the stout chains as easily as if they had been threads."
1272-135031-0003,THE LITTLE GIRL HAD BEEN ASLEEP BUT SHE HEARD THE RAPS AND OPENED THE DOOR,/content/audios/1272-135031-0003.flac," The little girl had been asleep, but she heard the rap and opened the door."
1272-135031-0004,THE KING HAS FLED IN DISGRACE AND YOUR FRIENDS ARE ASKING FOR YOU,/content/audios/1272-135031-0004.flac, The king is flooded disgrace and your friends are asking for you.
1272-135031-0005,I BEGGED RUGGEDO LONG AGO TO SEND HIM AWAY BUT HE WOULD NOT DO SO,/content/audios/1272-135031-0005.flac," I begged Ruggedo along I go to send him away, but he would not do so."
1272-135031-0006,I ALSO OFFERED TO HELP YOUR BROTHER TO ESCAPE BUT HE WOULD NOT GO,/content/audios/1272-135031-0006.flac," I also offered to help your brother to escape, but he would not go."
1272-135031-0007,HE EATS AND SLEEPS VERY STEADILY REPLIED THE NEW KING,/content/audios/1272-135031-0007.flac," He eats and sleeps very steadily, replay the nooking."
1272-135031-0008,I HOPE HE DOESN'T WORK TOO HARD SAID SHAGGY,/content/audios/1272-135031-0008.flac, I hope he doesn't work too hard since Shaggy.
1272-135031-0009,HE DOESN'T WORK AT ALL,/content/audios/1272-135031-0009.flac, He doesn't work at all.
1272-135031-0010,IN FACT THERE IS NOTHING HE CAN DO IN THESE DOMINIONS AS WELL AS OUR NOMES WHOSE NUMBERS ARE SO GREAT THAT IT WORRIES US TO KEEP THEM ALL BUSY,/content/audios/1272-135031-0010.flac," In fact, there is nothing he can do in these dominions as well as our norms, whose numbers are so great that it worries us to keep them all busy."
1272-135031-0011,NOT EXACTLY RETURNED KALIKO,/content/audios/1272-135031-0011.flac," Not exactly, we've turned Calico."
1272-135031-0012,WHERE IS MY BROTHER NOW,/content/audios/1272-135031-0012.flac, Where is my brother now?
1272-135031-0013,INQUIRED SHAGGY IN THE METAL FOREST,/content/audios/1272-135031-0013.flac, Inquired Shaggy in the Metal Forest.
1272-135031-0014,WHERE IS THAT,/content/audios/1272-135031-0014.flac, Where is that?
1272-135031-0015,THE METAL FOREST IS IN THE GREAT DOMED CAVERN THE LARGEST IN ALL OUR DOMINIONS REPLIED KALIKO,/content/audios/1272-135031-0015.flac," The middle forest is in the Great Dome de Cavern, the largest in all our dominions, replied Calico."
1272-135031-0016,KALIKO HESITATED,/content/audios/1272-135031-0016.flac, Callergo hesitated.
1272-135031-0017,HOWEVER IF WE LOOK SHARP WE MAY BE ABLE TO DISCOVER ONE OF THESE SECRET WAYS,/content/audios/1272-135031-0017.flac," However, if we look sharp, we may be able to discover one of these secret ways."
1272-135031-0018,OH NO I'M QUITE SURE HE DIDN'T,/content/audios/1272-135031-0018.flac," Oh no, I'm quite sure he didn't."
1272-135031-0019,THAT'S FUNNY REMARKED BETSY THOUGHTFULLY,/content/audios/1272-135031-0019.flac," That's funny, remarked to Betsy, thoughtfully."
1272-135031-0020,I DON'T BELIEVE ANN KNEW ANY MAGIC OR SHE'D HAVE WORKED IT BEFORE,/content/audios/1272-135031-0020.flac, I don't believe Ann knew any magic or she'd have worked it before.
1272-135031-0021,I DO NOT KNOW CONFESSED SHAGGY,/content/audios/1272-135031-0021.flac," I do not know, confess to Shaggy."
1272-135031-0022,TRUE AGREED KALIKO,/content/audios/1272-135031-0022.flac, True agreed Calico.
1272-135031-0023,KALIKO WENT TO THE BIG GONG AND POUNDED ON IT JUST AS RUGGEDO USED TO DO BUT NO ONE ANSWERED THE SUMMONS,/content/audios/1272-135031-0023.flac," Calico went to the big gong and pounded on it just as regular used to do, but no one answered the summons."
1272-135031-0024,HAVING RETURNED TO THE ROYAL CAVERN KALIKO FIRST POUNDED THE GONG AND THEN SAT IN THE THRONE WEARING RUGGEDO'S DISCARDED RUBY CROWN AND HOLDING IN HIS HAND THE SCEPTRE WHICH RUGGEDO HAD SO OFTEN THROWN AT HIS HEAD,/content/audios/1272-135031-0024.flac," Having returned to the Royal Cavern, Calico first pounded the gong and then sat in the throne, wearing regga-dose discarded ruby crown and holding in his hand the scepter which regga-dose had so often thrown at his head."
1272-141231-0000,A MAN SAID TO THE UNIVERSE SIR I EXIST,/content/audios/1272-141231-0000.flac," A man said to the universe, Sir, I exist."
1272-141231-0001,SWEAT COVERED BRION'S BODY TRICKLING INTO THE TIGHT LOINCLOTH THAT WAS THE ONLY GARMENT HE WORE,/content/audios/1272-141231-0001.flac," Sweat-covered Brian's body, trickling into the titling class that was the only German Hewar."
1272-141231-0002,THE CUT ON HIS CHEST STILL DRIPPING BLOOD THE ACHE OF HIS OVERSTRAINED EYES EVEN THE SOARING ARENA AROUND HIM WITH THE THOUSANDS OF SPECTATORS WERE TRIVIALITIES NOT WORTH THINKING ABOUT,/content/audios/1272-141231-0002.flac," The cut on his chest is still dripping blood. The ache of his overstrained eyes, even the soaring arena around him with the thousands of spectators, retrievalities not worth thinking about."
1272-141231-0003,HIS INSTANT OF PANIC WAS FOLLOWED BY A SMALL SHARP BLOW HIGH ON HIS CHEST,/content/audios/1272-141231-0003.flac, His instant panic was followed by a small sharp blow high on his chest.
1272-141231-0004,ONE MINUTE A VOICE SAID AND THE TIME BUZZER SOUNDED,/content/audios/1272-141231-0004.flac," One minute, a voice said, and the timbers are sounded."
1272-141231-0005,A MINUTE IS NOT A VERY LARGE MEASURE OF TIME AND HIS BODY NEEDED EVERY FRACTION OF IT,/content/audios/1272-141231-0005.flac," A minute is not a very large measure of time, and his body needed every fraction of it."
1272-141231-0006,THE BUZZER'S WHIRR TRIGGERED HIS MUSCLES INTO COMPLETE RELAXATION,/content/audios/1272-141231-0006.flac, The buzzers were triggered as muscles into complete relaxation.
1272-141231-0007,ONLY HIS HEART AND LUNGS WORKED ON AT A STRONG MEASURED RATE,/content/audios/1272-141231-0007.flac," O Lee's heart and lungs worked on at a strong, measured rate."
1272-141231-0008,HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS,/content/audios/1272-141231-0008.flac," He was in reverie, sliding along the borders of consciousness."
1272-141231-0009,THE CONTESTANTS IN THE TWENTIES NEEDED UNDISTURBED REST THEREFORE NIGHTS IN THE DORMITORIES WERE AS QUIET AS DEATH,/content/audios/1272-141231-0009.flac," The contestants in the 20s needed undisturbed rest. Therefore, knights in the dormitories were as quiet as death."
1272-141231-0010,PARTICULARLY SO ON THIS LAST NIGHT WHEN ONLY TWO OF THE LITTLE CUBICLES WERE OCCUPIED THE THOUSANDS OF OTHERS STANDING WITH DARK EMPTY DOORS,/content/audios/1272-141231-0010.flac," particularly so, on this last night when only two of the little cubicles were occupied, the thousands of others standing with dark empty doors."
1272-141231-0011,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,/content/audios/1272-141231-0011.flac," The other voice snapped with a harsh urgency, clearly used to command."
1272-141231-0012,I'M HERE BECAUSE THE MATTER IS OF UTMOST IMPORTANCE AND BRANDD IS THE ONE I MUST SEE NOW STAND ASIDE,/content/audios/1272-141231-0012.flac," I'm here because the matter is of utmost importance, and brand is the one I must see. Now stand aside!"
1272-141231-0013,THE TWENTIES,/content/audios/1272-141231-0013.flac, the 20s.
1272-141231-0014,HE MUST HAVE DRAWN HIS GUN BECAUSE THE INTRUDER SAID QUICKLY PUT THAT AWAY YOU'RE BEING A FOOL OUT,/content/audios/1272-141231-0014.flac," He must have drawn his gun because the intruder said quickly, but that away you're being a fool. Out."
1272-141231-0015,THERE WAS SILENCE THEN AND STILL WONDERING BRION WAS ONCE MORE ASLEEP,/content/audios/1272-141231-0015.flac," There is silence then, and still wondering, Brienne was once more asleep."
1272-141231-0016,TEN SECONDS,/content/audios/1272-141231-0016.flac, 10 seconds.
1272-141231-0017,HE ASKED THE HANDLER WHO WAS KNEADING HIS ACHING MUSCLES,/content/audios/1272-141231-0017.flac, He asked the handler who was needing his aching muscles.
1272-141231-0018,A RED HAIRED MOUNTAIN OF A MAN WITH AN APPARENTLY INEXHAUSTIBLE STORE OF ENERGY,/content/audios/1272-141231-0018.flac, A red-haired mountain of a man was an apparently inexhaustible store of energy.
1272-141231-0019,THERE COULD BE LITTLE ART IN THIS LAST AND FINAL ROUND OF FENCING,/content/audios/1272-141231-0019.flac, There could be a little art in this last and final round of fencing.
1272-141231-0020,JUST THRUST AND PARRY AND VICTORY TO THE STRONGER,/content/audios/1272-141231-0020.flac, just thrust and parry and victory to the stronger.
1272-141231-0021,EVERY MAN WHO ENTERED THE TWENTIES HAD HIS OWN TRAINING TRICKS,/content/audios/1272-141231-0021.flac, Every man who entered the 20s had his own training tricks.
1272-141231-0022,THERE APPEARED TO BE AN IMMEDIATE ASSOCIATION WITH THE DEATH TRAUMA AS IF THE TWO WERE INEXTRICABLY LINKED INTO ONE,/content/audios/1272-141231-0022.flac," There appeared to be an immediate association with the death trauma, as if the two were inextricably linked into one."
1272-141231-0023,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,/content/audios/1272-141231-0023.flac," The strength that enables someone in a trance to hold his body stiff and unsupported, except at two points, the head and heels."
1272-141231-0024,THIS IS PHYSICALLY IMPOSSIBLE WHEN CONSCIOUS,/content/audios/1272-141231-0024.flac, This is physically impossible when conscious.
1272-141231-0025,OTHERS HAD DIED BEFORE DURING THE TWENTIES AND DEATH DURING THE LAST ROUND WAS IN SOME WAYS EASIER THAN DEFEAT,/content/audios/1272-141231-0025.flac," Others had died before during the 20s, and death during the last round was in some ways easier than defeat."
1272-141231-0026,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,/content/audios/1272-141231-0026.flac," Breathing deeply, Briann softly spoke the autohemnetic phrases that triggered the process."
1272-141231-0027,WHEN THE BUZZER SOUNDED HE PULLED HIS FOIL FROM HIS SECOND'S STARTLED GRASP AND RAN FORWARD,/content/audios/1272-141231-0027.flac," When the buzzer sounded, he pulled his foil from his second startled grasp and ran forward."
1272-141231-0028,IROLG LOOKED AMAZED AT THE SUDDEN FURY OF THE ATTACK THEN SMILED,/content/audios/1272-141231-0028.flac," I rolled click the maze at the sudden fury of the attack, then smiled."
1272-141231-0029,HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION,/content/audios/1272-141231-0029.flac, He said it was the last burst of energy. He knew how close they both were to exhaustion.
1272-141231-0030,BRION SAW SOMETHING CLOSE TO PANIC ON HIS OPPONENT'S FACE WHEN THE MAN FINALLY RECOGNIZED HIS ERROR,/content/audios/1272-141231-0030.flac, Brianna saw something close to panic on his opponent's face when the man finally recognized his error.
1272-141231-0031,A WAVE OF DESPAIR ROLLED OUT FROM IROLG BRION SENSED IT AND KNEW THE FIFTH POINT WAS HIS,/content/audios/1272-141231-0031.flac, A wave of despair rolled out from Irohg. Brian sensed it and knew the fifth point was his.
1272-141231-0032,THEN THE POWERFUL TWIST THAT THRUST IT ASIDE IN AND UNDER THE GUARD,/content/audios/1272-141231-0032.flac," Then the powerful twist that's rest of the side, in and under the guard."
1462-170138-0000,HE HAD WRITTEN A NUMBER OF BOOKS HIMSELF AMONG THEM A HISTORY OF DANCING A HISTORY OF COSTUME A KEY TO SHAKESPEARE'S SONNETS A STUDY OF THE POETRY OF ERNEST DOWSON ET CETERA,/content/audios/1462-170138-0000.flac," He had written a number of books himself among them a history of dancing, a history of costume, a Key to Shakespeare's sonnets, a study of the poetry of Ernest Dousin, etc."
1462-170138-0001,HUGH'S WRITTEN A DELIGHTFUL PART FOR HER AND SHE'S QUITE INEXPRESSIBLE,/content/audios/1462-170138-0001.flac," Hughes written a delightful part for her, and she's quite inexpressible."
1462-170138-0002,I HAPPEN TO HAVE MAC CONNELL'S BOX FOR TONIGHT OR THERE'D BE NO CHANCE OF OUR GETTING PLACES,/content/audios/1462-170138-0002.flac," I happen to have McConnell's box for tonight, or there'd be no chance of our getting places."
1462-170138-0003,ALEXANDER EXCLAIMED MILDLY,/content/audios/1462-170138-0003.flac, Alexander exclaimed mildly.
1462-170138-0004,MYSELF I ALWAYS KNEW SHE HAD IT IN HER,/content/audios/1462-170138-0004.flac, myself. I always knew she had it in her.
1462-170138-0005,DO YOU KNOW ALEXANDER MAINHALL LOOKED WITH PERPLEXITY UP INTO THE TOP OF THE HANSOM AND RUBBED HIS PINK CHEEK WITH HIS GLOVED FINGER DO YOU KNOW I SOMETIMES THINK OF TAKING TO CRITICISM SERIOUSLY MYSELF,/content/audios/1462-170138-0005.flac," Do you know Alexander? Maynall looked with perplexity up into the top of the handsome, and rubbed his pink cheek with his gloved finger. Do you know, I sometimes think of taking to criticism seriously myself?"
1462-170138-0006,WHEN THEY ENTERED THE STAGE BOX ON THE LEFT THE FIRST ACT WAS WELL UNDER WAY THE SCENE BEING THE INTERIOR OF A CABIN IN THE SOUTH OF IRELAND,/content/audios/1462-170138-0006.flac," When they entered the stage box on the left, the first act was well underway, the scene being the interior of a cabin in the south of Ireland."
1462-170138-0007,AS THEY SAT DOWN A BURST OF APPLAUSE DREW ALEXANDER'S ATTENTION TO THE STAGE,/content/audios/1462-170138-0007.flac," As they sat down, a burst of applause drew Alexander's attention to the stage."
1462-170138-0008,OF COURSE HILDA IS IRISH THE BURGOYNES HAVE BEEN STAGE PEOPLE FOR GENERATIONS AND SHE HAS THE IRISH VOICE,/content/audios/1462-170138-0008.flac," Of course, Hilda is Irish. Their bergoins have been stage people for generations, and she has the Irish voice."
1462-170138-0009,IT'S DELIGHTFUL TO HEAR IT IN A LONDON THEATRE,/content/audios/1462-170138-0009.flac, It's delightful to hear it in a London theatre.
1462-170138-0010,WHEN SHE BEGAN TO DANCE BY WAY OF SHOWING THE GOSSOONS WHAT SHE HAD SEEN IN THE FAIRY RINGS AT NIGHT THE HOUSE BROKE INTO A PROLONGED UPROAR,/content/audios/1462-170138-0010.flac," When she began to dance, by way of showing the gosoons which she had seen in the ferry rings at night, the house broke into a prolonged uproar."
1462-170138-0011,AFTER HER DANCE SHE WITHDREW FROM THE DIALOGUE AND RETREATED TO THE DITCH WALL BACK OF PHILLY'S BURROW WHERE SHE SAT SINGING THE RISING OF THE MOON AND MAKING A WREATH OF PRIMROSES FOR HER DONKEY,/content/audios/1462-170138-0011.flac," After her dance, she withdrew from the dialogue and retreated to the ditch wall back of Philly's burrow, where she sat singing the rising of the moon and making a wreath of prim roses for her donkey."
1462-170138-0012,MAC CONNELL LET ME INTRODUCE MISTER BARTLEY ALEXANDER,/content/audios/1462-170138-0012.flac," McConnell, let me introduce Mr. Bartley Alexander."
1462-170138-0013,THE PLAYWRIGHT GAVE MAINHALL A CURIOUS LOOK OUT OF HIS DEEP SET FADED EYES AND MADE A WRY FACE,/content/audios/1462-170138-0013.flac, The playwright gave Main Hall a curious look out of his deep-set faded eyes and made a riot face.
1462-170138-0014,HE NODDED CURTLY AND MADE FOR THE DOOR DODGING ACQUAINTANCES AS HE WENT,/content/audios/1462-170138-0014.flac," He nodded curtly and made for the door, dodging acquaintances as he went."
1462-170138-0015,I DARE SAY IT'S QUITE TRUE THAT THERE'S NEVER BEEN ANY ONE ELSE,/content/audios/1462-170138-0015.flac, I dare say it's quite true that there's never been anyone else.
1462-170138-0016,HE'S ANOTHER WHO'S AWFULLY KEEN ABOUT HER LET ME INTRODUCE YOU,/content/audios/1462-170138-0016.flac, He's another who's awfully keen about her. Let me introduce you.
1462-170138-0017,SIR HARRY TOWNE BOWED AND SAID THAT HE HAD MET MISTER ALEXANDER AND HIS WIFE IN TOKYO,/content/audios/1462-170138-0017.flac, Sir Harry Town Boud and said that he had met Mr. Alexander and his wife in Tokyo.
1462-170138-0018,I SAY SIR HARRY THE LITTLE GIRL'S GOING FAMOUSLY TO NIGHT ISN'T SHE,/content/audios/1462-170138-0018.flac," I say, Sir Harry, the little girl's going famously tonight, isn't she?"
1462-170138-0019,THE FACT IS SHE'S FEELING RATHER SEEDY POOR CHILD,/content/audios/1462-170138-0019.flac," The fact is, she's feeling rather CD poor child."
1462-170138-0020,A LITTLE ATTACK OF NERVES POSSIBLY,/content/audios/1462-170138-0020.flac, a little attack of nerves possibly.
1462-170138-0021,HE BOWED AS THE WARNING BELL RANG AND MAINHALL WHISPERED YOU KNOW LORD WESTMERE OF COURSE THE STOOPED MAN WITH THE LONG GRAY MUSTACHE TALKING TO LADY DOWLE,/content/audios/1462-170138-0021.flac," He bowed as the warding bell rang, and main hall whispered, You know, Lord Westmare, of course, the stooped man with the long gray mustache, talking to Lady Dowell."
1462-170138-0022,IN A MOMENT PEGGY WAS ON THE STAGE AGAIN AND ALEXANDER APPLAUDED VIGOROUSLY WITH THE REST,/content/audios/1462-170138-0022.flac," In a moment Peggy was on the stage again, and Alexander applauded vigorously with the rest."
1462-170138-0023,IN THE HALF LIGHT HE LOOKED ABOUT AT THE STALLS AND BOXES AND SMILED A LITTLE CONSCIOUSLY RECALLING WITH AMUSEMENT SIR HARRY'S JUDICIAL FROWN,/content/audios/1462-170138-0023.flac," In the half-light, he looked about at the stalls and boxes and smiled a little consciously, recalling with the amusement Sir Harry's judicial frown."
1462-170138-0024,HE LEANED FORWARD AND BEAMED FELICITATIONS AS WARMLY AS MAINHALL HIMSELF WHEN AT THE END OF THE PLAY SHE CAME AGAIN AND AGAIN BEFORE THE CURTAIN PANTING A LITTLE AND FLUSHED HER EYES DANCING AND HER EAGER NERVOUS LITTLE MOUTH TREMULOUS WITH EXCITEMENT,/content/audios/1462-170138-0024.flac," He leaned forward and beamed felicitations as warmly as main hall himself when, at the end of the play, she came again and again before the curtain, panting a little and flushed. Her eyes dancing and her eager, nervous little mouth tremulous with excitement."
1462-170138-0025,ALL THE SAME HE LIFTED HIS GLASS HERE'S TO YOU LITTLE HILDA,/content/audios/1462-170138-0025.flac," All the same. He lifted his glass. Here's to you, little hilda."
1462-170138-0026,I'M GLAD SHE'S HELD HER OWN SINCE,/content/audios/1462-170138-0026.flac, I'm glad she's held her own sense.
1462-170138-0027,IT WAS YOUTH AND POVERTY AND PROXIMITY AND EVERYTHING WAS YOUNG AND KINDLY,/content/audios/1462-170138-0027.flac," It was youth and poverty and proximity, and everything was young and kindly."
1462-170142-0000,THE LAST TWO DAYS OF THE VOYAGE BARTLEY FOUND ALMOST INTOLERABLE,/content/audios/1462-170142-0000.flac," The last two days of the voyage, Bartley found almost intolerable."
1462-170142-0001,EMERGING AT EUSTON AT HALF PAST THREE O'CLOCK IN THE AFTERNOON ALEXANDER HAD HIS LUGGAGE SENT TO THE SAVOY AND DROVE AT ONCE TO BEDFORD SQUARE,/content/audios/1462-170142-0001.flac," Emerging at Houston at half past three o'clock in the afternoon, Alexander had his luggage sent to the Savoy and drove it once to Bedford Square."
1462-170142-0002,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,/content/audios/1462-170142-0002.flac, She blushed and smiled and fumbled his card in her confusion before she ran upstairs.
1462-170142-0003,THE ROOM WAS EMPTY WHEN HE ENTERED,/content/audios/1462-170142-0003.flac, The room was empty when he entered.
1462-170142-0004,A COAL FIRE WAS CRACKLING IN THE GRATE AND THE LAMPS WERE LIT FOR IT WAS ALREADY BEGINNING TO GROW DARK OUTSIDE,/content/audios/1462-170142-0004.flac," A coal fire was crackling in the grate, and the lamps were lit, for it was already beginning to grow dark outside."
1462-170142-0005,SHE CALLED HIS NAME ON THE THRESHOLD BUT IN HER SWIFT FLIGHT ACROSS THE ROOM SHE FELT A CHANGE IN HIM AND CAUGHT HERSELF UP SO DEFTLY THAT HE COULD NOT TELL JUST WHEN SHE DID IT,/content/audios/1462-170142-0005.flac," She calls his name on the threshold, but in her swift flight across the room she felt a change in him and caught herself up so deftly that he could not tell just when she did it."
1462-170142-0006,SHE MERELY BRUSHED HIS CHEEK WITH HER LIPS AND PUT A HAND LIGHTLY AND JOYOUSLY ON EITHER SHOULDER,/content/audios/1462-170142-0006.flac, She merely brushed his cheek with her lips and put a hand lightly and joyously on either shoulder.
1462-170142-0007,I NEVER DREAMED IT WOULD BE YOU BARTLEY,/content/audios/1462-170142-0007.flac," I never dreamed it would be you, Bartley."
1462-170142-0008,WHEN DID YOU COME BARTLEY AND HOW DID IT HAPPEN YOU HAVEN'T SPOKEN A WORD,/content/audios/1462-170142-0008.flac," When did you come, Bartley, and how did it happen? You haven't spoken a word."
1462-170142-0009,SHE LOOKED AT HIS HEAVY SHOULDERS AND BIG DETERMINED HEAD THRUST FORWARD LIKE A CATAPULT IN LEASH,/content/audios/1462-170142-0009.flac," She looked at his heavy shoulders and big, determined head, fresh-forward like a catapult in leash."
1462-170142-0010,I'LL DO ANYTHING YOU WISH ME TO BARTLEY SHE SAID TREMULOUSLY,/content/audios/1462-170142-0010.flac," I'll do anything you wish me to, Bartley. She said, chum-y-l-isly."
1462-170142-0011,HE PULLED UP A WINDOW AS IF THE AIR WERE HEAVY,/content/audios/1462-170142-0011.flac, He pulled up a window as if the air were heavy.
1462-170142-0012,HILDA WATCHED HIM FROM HER CORNER TREMBLING AND SCARCELY BREATHING DARK SHADOWS GROWING ABOUT HER EYES,/content/audios/1462-170142-0012.flac," Hilda watched him from her corner, trembling and scarcely breathing, dark shadows going about her eyes."
1462-170142-0013,IT IT HASN'T ALWAYS MADE YOU MISERABLE HAS IT,/content/audios/1462-170142-0013.flac," It hasn't always made you miserable, has it?"
1462-170142-0014,ALWAYS BUT IT'S WORSE NOW,/content/audios/1462-170142-0014.flac," Always, but it's worse now."
1462-170142-0015,IT'S UNBEARABLE IT TORTURES ME EVERY MINUTE,/content/audios/1462-170142-0015.flac, It's unbearable. It tortures me every minute.
1462-170142-0016,I AM NOT A MAN WHO CAN LIVE TWO LIVES HE WENT ON FEVERISHLY EACH LIFE SPOILS THE OTHER,/content/audios/1462-170142-0016.flac, I am not a man who can live two lives. He went on feverishly. Each life spoils the other.
1462-170142-0017,I GET NOTHING BUT MISERY OUT OF EITHER,/content/audios/1462-170142-0017.flac, I get nothing but misery out of either.
